,name,height,width,avg lightness,avg saturation,Number of pixels with hue in the [0/12 - 1/12] range,Number of pixels with hue in the [1/12 - 2/12] range,Number of pixels with hue in the [2/12 - 3/12] range,Number of pixels with hue in the [3/12 - 4/12] range,Number of pixels with hue in the [4/12 - 5/12] range,Number of pixels with hue in the [5/12 - 6/12] range,Number of pixels with hue in the [6/12 - 7/12] range,Number of pixels with hue in the [7/12 - 8/12] range,Number of pixels with hue in the [8/12 - 9/12] range,Number of pixels with hue in the [9/12 - 10/12] range,Number of pixels with hue in the [10/12 - 11/12] range,Number of pixels with hue in the [11/12 - 12/12] range
0,0ceeee70574721.5ba880832b068.jpg,1634,1200,0.4149578833347151,0.4695274604227837,459133.0,1025486.0,70945.0,7483.0,2928.0,7070.0,9905.0,9146.0,18481.0,3158.0,9855.0,337210.0
1,1.jpg,400,320,0.46657866115191615,0.5585676248104922,57333.0,23412.0,1839.0,1697.0,5367.0,3047.0,6020.0,4260.0,997.0,384.0,594.0,23050.0
2,2009_IT_1549000833211.JPG,543,366,0.5491269419842788,0.44224492723920933,117272.0,43925.0,13970.0,1042.0,814.0,1513.0,587.0,1049.0,3512.0,1478.0,2920.0,10656.0
3,5658a73abbf4d.image.jpg,746,594,0.3900311929686062,0.6426114701076358,229783.0,7824.0,2104.0,638.0,841.0,1410.0,10232.0,18734.0,19213.0,11713.0,14471.0,126161.0
4,akhilesh-yadav-on-the-cover-of-india-today-magazine-201606-1464939804-433x650.jpg,650,433,0.20880051135755298,0.2785502489555793,165679.0,4771.0,5085.0,6154.0,20483.0,22870.0,10499.0,6122.0,7531.0,3170.0,2618.0,26468.0
5,c2efbe9cf1b7457f2b24003c04e6e590.jpg,1144,843,0.47170778045048495,0.27970936981717603,504783.0,7428.0,199450.0,8259.0,15939.0,15275.0,4831.0,4791.0,4911.0,2445.0,6070.0,190210.0
6,"india-today-december-26,-2011---anniversary-issue-makers--and--breakers-of-modern-india_121312014513.jpg",543,389,0.4721643484192382,0.24862090854685584,56318.0,59580.0,31155.0,2398.0,1771.0,3452.0,16163.0,6648.0,1178.0,284.0,887.0,31393.0
7,IN_INDIATO2014MTH05DT2601_B.jpg,1054,760,0.47837221660764206,0.5445547782177865,76414.0,263949.0,31836.0,25718.0,50365.0,207530.0,11215.0,1961.0,1933.0,1010.0,8102.0,121007.0
8,modi13_650_122112035215.jpg,543,390,0.5379751154370295,0.49286253699302246,73041.0,31044.0,11966.0,7962.0,12544.0,2581.0,6461.0,6466.0,20482.0,2721.0,5939.0,30563.0
9,modi1_650_122112042518.jpg,543,391,0.6409957717809295,0.5056102092640945,88110.0,13704.0,8429.0,5125.0,5383.0,9403.0,11537.0,5126.0,3991.0,1551.0,3057.0,56897.0
10,modi2_650_122112035215.jpg,543,389,0.5737056787804643,0.5521008410745174,82003.0,7644.0,4948.0,19298.0,22746.0,3960.0,5548.0,8595.0,5958.0,4966.0,6555.0,39006.0
11,modi3_650_122112035215.jpg,543,390,0.40889987935486183,0.5463407482404372,54476.0,10158.0,8870.0,28107.0,48621.0,13630.0,1357.0,535.0,493.0,321.0,1162.0,44040.0
12,modi4_650_122112035215.jpg,543,391,0.4962735188511247,0.23334313922603767,78234.0,3754.0,3353.0,190.0,304.0,837.0,1109.0,6475.0,64824.0,6846.0,12953.0,33434.0
13,page_1.jpg,1494,1079,0.42938899710642014,0.5270258255161144,1110458.0,165783.0,12967.0,3252.0,4209.0,2334.0,14319.0,1599.0,1934.0,2833.0,14891.0,277447.0
14,rahul1-1_012513112423.jpg,543,385,0.5870197213326552,0.43551167645642175,69423.0,46809.0,10150.0,1322.0,1193.0,2944.0,10669.0,20424.0,13646.0,1020.0,1394.0,30061.0
15,rahul4-1_012513112423.jpg,543,384,0.5661663710141489,0.3144562173902813,41355.0,6465.0,2207.0,704.0,1804.0,4549.0,7246.0,9299.0,22400.0,22397.0,7410.0,82676.0
16,rahul5-1_012513112423.jpg,543,391,0.5333783833580599,0.528378839075315,80658.0,34220.0,18605.0,4238.0,8107.0,8130.0,4879.0,2440.0,4036.0,1217.0,2660.0,43123.0
17,rahul6-1_012513112423.jpg,543,377,0.605371388703943,0.37034599472297813,105111.0,16536.0,5624.0,1639.0,1883.0,3799.0,6865.0,5922.0,8449.0,1281.0,2539.0,45063.0
